Name,Platform,Year,Genre,Publisher,Global_Sales,Meta_Score,User_Score
THE SIMS 2: PETS,PSP,2006.0,Simulation,Electronic Arts,0.8,57,7.4
ALIENS: COLONIAL MARINES,X360,2013.0,Shooter,Sega,0.8,48,3.9
PRO EVOLUTION SOCCER 2010,PSP,2009.0,Sports,Konami Digital Entertainment,0.8,72,5.4
SONIC & SEGA ALL-STARS RACING WITH BANJO-KAZOOIE,X360,2010.0,Racing,Sega,0.8,75,7.6
GOLDENEYE 007: RELOADED,PS3,2011.0,Shooter,Activision,0.8,72,6.2
DRAGON'S DOGMA,X360,2012.0,Role-Playing,Capcom,0.8,75,7.9
DARKSIDERS II,X360,2012.0,Action,THQ,0.8,83,8.2
RESIDENT EVIL: REVELATIONS,PS3,2013.0,Action,Capcom,0.8,74,7.3
RAYMAN RAVING RABBIDS 2,DS,2007.0,Misc,Ubisoft,0.8,57,6.7
NEED FOR SPEED: HOT PURSUIT 2,GC,2002.0,Racing,Electronic Arts,0.8,68,8.4
STAR WARS: THE FORCE UNLEASHED II,WII,2010.0,Action,LucasArts,0.8,71,7.8
BAND HERO,X360,2009.0,Misc,Activision,0.8,76,5.0
MARIO & SONIC AT THE SOCHI 2014 OLYMPIC WINTER GAMES,WIIU,2013.0,Sports,Nintendo,0.8,55,61.0
SNIPER: GHOST WARRIOR,PS3,2011.0,Shooter,City Interactive,0.8,53,6.1
THE GODFATHER II,X360,2009.0,Action,Electronic Arts,0.79,65,6.9
PRO EVOLUTION SOCCER 2011,PSP,2010.0,Sports,Konami Digital Entertainment,0.79,74,6.4
DRAGON BALL Z: BUDOKAI TENKAICHI 2,PS2,2006.0,Fighting,Atari,0.79,73,8.6
RAYMAN ORIGINS,X360,2011.0,Platform,Ubisoft,0.79,87,8.2
GUITAR HERO: AEROSMITH,PS2,2008.0,Misc,Activision,0.79,71,6.6
TIGER WOODS PGA TOUR 10,PS3,2009.0,Sports,Electronic Arts,0.79,81,7.7
STAR WARS THE CLONE WARS: JEDI ALLIANCE,DS,2008.0,Action,LucasArts,0.79,68,7.7
STAR OCEAN: THE LAST HOPE,X360,2009.0,Role-Playing,Square Enix,0.79,72,7.3
DANCE DANCE REVOLUTION SUPERNOVA 2,PS2,2007.0,Simulation,Konami Digital Entertainment,0.79,70,8.0
ARMORED CORE 2,PS2,2000.0,Simulation,Ubisoft,0.79,78,8.6
GHOST SQUAD,WII,2007.0,Shooter,Sega,0.79,69,7.6
DEAD ISLAND: RIPTIDE,X360,2013.0,Action,Deep Silver,0.79,57,6.3
DRAWN TO LIFE,DS,2007.0,Action,THQ,0.79,73,7.8
TOO HUMAN,X360,2008.0,Role-Playing,Microsoft Game Studios,0.79,65,7.0
SID MEIER'S CIVILIZATION REVOLUTION,PS3,2008.0,Strategy,Take-Two Interactive,0.79,85,7.6
NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 2,X360,2010.0,Fighting,Namco Bandai Games,0.79,74,8.5
LIPS,X360,2008.0,Misc,Microsoft Game Studios,0.78,71,7.4
PRO EVOLUTION SOCCER 2016,PS4,2015.0,Sports,Konami Digital Entertainment,0.78,87,72.0
WORMS: OPEN WARFARE,PSP,2006.0,Strategy,THQ,0.78,70,6.8
STAR WARS BATTLEFRONT: ELITE SQUADRON,PSP,2009.0,Shooter,LucasArts,0.78,63,8.3
UFC PERSONAL TRAINER: THE ULTIMATE FITNESS SYSTEM,X360,2011.0,Sports,THQ,0.78,70,6.5
RESIDENT EVIL: OPERATION RACCOON CITY,X360,2012.0,Action,Capcom,0.78,52,4.9
NBA 2K7,PS2,2006.0,Sports,Take-Two Interactive,0.78,81,8.4
JAMES BOND 007: NIGHTFIRE,GC,2002.0,Shooter,Electronic Arts,0.78,80,8.5
BANJO-KAZOOIE: NUTS & BOLTS,X360,2008.0,Platform,Microsoft Game Studios,0.78,79,6.7
HARRY POTTER AND THE HALF-BLOOD PRINCE,WII,2009.0,Action,Electronic Arts,0.77,60,5.7
DJ HERO,WII,2009.0,Misc,Activision,0.77,87,7.3
PERFECT DARK ZERO,X360,2005.0,Shooter,Microsoft Game Studios,0.77,81,7.3
MADDEN NFL 25,XONE,2013.0,Sports,Electronic Arts,0.77,73,58.0
DUKE NUKEM FOREVER,PS3,2011.0,Shooter,Take-Two Interactive,0.77,51,4.9
MARVEL NEMESIS: RISE OF THE IMPERFECTS,PS2,2005.0,Fighting,Electronic Arts,0.77,53,6.3
DRAGON BALL: RAGING BLAST,PS3,2009.0,Fighting,Namco Bandai Games,0.77,57,7.4
CONKER'S BAD FUR DAY,N64,2001.0,Platform,THQ,0.77,92,9.1
STAR WARS EPISODE II: ATTACK OF THE CLONES,GBA,2002.0,Action,THQ,0.77,38,4.3
DONKEY KONG COUNTRY 3,GBA,2005.0,Platform,Nintendo,0.77,77,8.3
ALL-STAR BASEBALL 2003,PS2,2002.0,Sports,Acclaim Entertainment,0.77,81,8.4
RAVING RABBIDS: TRAVEL IN TIME,WII,2010.0,Adventure,Ubisoft,0.76,62,7.1
THE SIMS 3,3DS,2011.0,Simulation,Electronic Arts,0.76,52,3.0
LOST PLANET 2,X360,2010.0,Shooter,Capcom,0.76,68,6.2
SOULCALIBUR V,PS3,2012.0,Fighting,Namco Bandai Games,0.76,81,6.7
PORTAL 2,PC,2011.0,Shooter,Valve Software,0.76,95,9.1
PRO EVOLUTION SOCCER 2015,PS4,2014.0,Sports,Konami Digital Entertainment,0.76,82,71.0
DRAWN TO LIFE: THE NEXT CHAPTER,WII,2009.0,Puzzle,THQ,0.76,58,6.0
THE LORD OF THE RINGS: CONQUEST,PS3,2009.0,Action,Electronic Arts,0.76,54,7.1
TONY HAWK'S PRO SKATER 2,N64,2001.0,Sports,Activision,0.76,84,8.8
SYPHON FILTER: THE OMEGA STRAIN,PS2,2004.0,Shooter,Sony Computer Entertainment,0.76,65,6.9
KANE & LYNCH: DEAD MEN,X360,2007.0,Shooter,Eidos Interactive,0.76,65,3.2
ASSASSIN'S CREED: REVELATIONS,PC,2011.0,Action,Ubisoft,0.76,80,7.5
NEED FOR SPEED: SHIFT,PSP,2009.0,Racing,Electronic Arts,0.76,69,6.2
KANE & LYNCH: DEAD MEN,PS3,2007.0,Shooter,Eidos Interactive,0.76,64,3.7
DARK SOULS II,X360,2014.0,Role-Playing,Namco Bandai Games,0.76,91,7.9
TRUE CRIME: NEW YORK CITY,PS2,2005.0,Action,Activision,0.76,60,7.8
LEGENDS OF WRESTLING,PS2,2001.0,Fighting,Acclaim Entertainment,0.76,55,8.2
ROCKSTAR GAMES PRESENTS TABLE TENNIS,X360,2006.0,Sports,Take-Two Interactive,0.76,81,7.8
MONOPOLY STREETS,WII,2010.0,Misc,Electronic Arts,0.76,65,5.2
GENJI: DAYS OF THE BLADE,PS3,2006.0,Action,Sony Computer Entertainment,0.76,55,5.9
TOTAL WAR: ROME II,PC,2013.0,Strategy,Sega,0.76,76,4.3
RARE REPLAY,XONE,2015.0,Misc,Microsoft Game Studios,0.75,84,80.0
SPECTROBES,DS,2007.0,Role-Playing,Disney Interactive Studios,0.75,63,7.8
WALL-E,PS2,2008.0,Platform,THQ,0.75,67,8.0
WWE SMACKDOWN VS. RAW 2009,PSP,2008.0,Fighting,THQ,0.75,72,6.5
BAND HERO,PS3,2009.0,Misc,Activision,0.75,76,7.1
DJ HERO 2,PS3,2010.0,Misc,Activision,0.75,86,7.8
THE GODFATHER II,PS3,2009.0,Action,Electronic Arts,0.75,67,7.1
WWE SMACKDOWN VS. RAW 2010,WII,2009.0,Fighting,THQ,0.75,78,7.8
TUROK,X360,2008.0,Action,Touchstone,0.75,69,7.0
SHARK TALE,PS2,2004.0,Action,Activision,0.75,69,6.0
ZONE OF THE ENDERS,PS2,2001.0,Shooter,Konami Digital Entertainment,0.75,78,7.5
RED FACTION: GUERRILLA,PS3,2009.0,Shooter,THQ,0.75,85,8.0
MADDEN NFL 06,PSP,2005.0,Sports,Electronic Arts,0.75,75,7.9
CODED ARMS,PSP,2005.0,Shooter,Konami Digital Entertainment,0.75,59,6.5
TALES OF VESPERIA,X360,2008.0,Role-Playing,Atari,0.75,79,8.6
SPLIT/SECOND,PS3,2010.0,Racing,Disney Interactive Studios,0.75,84,8.1
CAPCOM VS. SNK 2: MARK OF THE MILLENNIUM 2001,PS2,2001.0,Fighting,Capcom,0.75,81,8.0
MVP 06 NCAA BASEBALL,PS2,2006.0,Sports,Electronic Arts,0.75,76,8.7
BORDERLANDS: THE PRE-SEQUEL,X360,2014.0,Shooter,Take-Two Interactive,0.75,74,6.3
MARVEL: ULTIMATE ALLIANCE 2,PS3,2009.0,Role-Playing,Activision,0.75,74,7.3
SEGA SUPERSTARS TENNIS,DS,2008.0,Sports,Sega,0.75,65,8.3
ACE COMBAT: ASSAULT HORIZON,PS3,2011.0,Action,Namco Bandai Games,0.74,77,6.8
RESONANCE OF FATE,PS3,2010.0,Role-Playing,Sega,0.74,72,8.0
BURNOUT,PS2,2001.0,Racing,Acclaim Entertainment,0.74,79,7.8
MORTAL KOMBAT: UNCHAINED,PSP,2006.0,Fighting,Midway Games,0.74,70,8.4
BRINK,PS3,2011.0,Shooter,Bethesda Softworks,0.74,72,5.8
LEGO MARVEL SUPER HEROES,WIIU,2013.0,Action,Warner Bros. Interactive Entertainment,0.74,82,79.0
BLUR,PS3,2010.0,Racing,Activision,0.74,81,8.2
NAMCO MUSEUM REMIX,WII,2007.0,Misc,Atari,0.74,49,7.4
CRYSIS 2,PC,2011.0,Action,Electronic Arts,0.74,86,6.9
INDIANA JONES AND THE STAFF OF KINGS,WII,2009.0,Action,Activision,0.74,55,7.0
NARUTO SHIPPUDEN: ULTIMATE NINJA STORM GENERATIONS,PS3,2012.0,Fighting,Namco Bandai Games,0.74,74,7.1
PIRATES OF THE CARIBBEAN: AT WORLD'S END,PS3,2007.0,Action,Disney Interactive Studios,0.74,55,7.0
TIGER WOODS PGA TOUR 08,PS3,2007.0,Sports,Electronic Arts,0.74,79,6.6
SWORD OF MANA,GBA,2003.0,Role-Playing,Nintendo,0.74,72,8.3
STAR OCEAN: THE LAST HOPE INTERNATIONAL,PS3,2010.0,Role-Playing,Square Enix,0.73,74,6.8
THE SIMS 2: CASTAWAY,DS,2007.0,Simulation,Electronic Arts,0.73,66,4.1
CLASSIC NES SERIES: DONKEY KONG,GBA,2004.0,Platform,Nintendo,0.73,55,6.7
CALL OF DUTY: GHOSTS,PC,2013.0,Shooter,Activision,0.73,68,2.2
F1 2011,X360,2011.0,Racing,Codemasters,0.73,84,7.1
MADDEN NFL 10,WII,2009.0,Sports,Electronic Arts,0.73,77,7.1
KIRBY: CANVAS CURSE,DS,2005.0,Platform,Nintendo,0.73,86,7.8
NHL 11,X360,2010.0,Sports,Electronic Arts,0.73,88,7.7
DRAGON AGE: INQUISITION,PC,2014.0,Role-Playing,Electronic Arts,0.73,85,6.0
DIRT 3,X360,2011.0,Racing,Codemasters,0.73,87,7.0
NCAA FOOTBALL 07,X360,2006.0,Sports,Electronic Arts,0.73,79,7.0
KATAMARI DAMACY,PS2,2004.0,Puzzle,Namco Bandai Games,0.73,86,8.9
RATCHET & CLANK COLLECTION,PS3,2012.0,Action,Sony Computer Entertainment,0.73,83,8.4
SHAUN PALMER'S PRO SNOWBOARDER,PS2,2001.0,Sports,Codemasters,0.73,64,8.7
MX VS. ATV REFLEX,X360,2009.0,Racing,THQ,0.73,75,6.3
SSX,X360,2012.0,Sports,Electronic Arts,0.72,82,6.4
STYLE SAVVY: TRENDSETTERS,3DS,2012.0,Simulation,Nintendo,0.72,76,7.6
JAMES BOND 007: AGENT UNDER FIRE,GC,2002.0,Shooter,Electronic Arts,0.72,74,6.7
XCOM: ENEMY UNKNOWN,PC,2012.0,Strategy,Take-Two Interactive,0.72,89,8.2
RABBIDS GO HOME,DS,2009.0,Platform,Ubisoft,0.72,70,5.8
STAR WARS EPISODE III: REVENGE OF THE SITH,GBA,2005.0,Action,Ubisoft,0.72,73,7.8
ULTIMATE SPIDER-MAN,PS2,2005.0,Action,Activision,0.72,74,8.1
NBA LIVE 08,PS2,2007.0,Sports,Electronic Arts,0.72,68,6.7
TIGER WOODS PGA TOUR 07,PS2,2006.0,Sports,Electronic Arts,0.72,79,6.0
MAJOR LEAGUE BASEBALL 2K7,X360,2007.0,Sports,Spike,0.72,79,7.1
X-MEN: MUTANT ACADEMY 2,PS,2001.0,Fighting,Activision,0.72,72,8.4
TERRARIA,X360,2013.0,Action,505 Games,0.72,81,7.2
JAMES BOND 007: BLOOD STONE,PS3,2010.0,Shooter,Activision,0.72,65,7.4
SKATE,X360,2007.0,Sports,Electronic Arts,0.72,86,8.4
SUPER MONKEY BALL JR.,GBA,2002.0,Puzzle,Atari,0.72,82,8.6
DRIVER: SAN FRANCISCO,X360,2011.0,Racing,Ubisoft,0.72,80,7.6
MLB 09: THE SHOW,PS3,2009.0,Sports,Sony Computer Entertainment,0.72,90,8.1
MOBILE SUIT GUNDAM: ENCOUNTERS IN SPACE,PS2,2003.0,Simulation,Namco Bandai Games,0.72,66,8.5
CATHERINE,PS3,2011.0,Adventure,Deep Silver,0.72,79,8.1
CRYSIS,PC,2007.0,Shooter,Electronic Arts,0.72,91,8.1
BATTLEFIELD: BAD COMPANY 2,PC,2010.0,Shooter,Electronic Arts,0.71,87,8.2
MLB 13: THE SHOW,PS3,2013.0,Sports,Sony Computer Entertainment,0.71,87,7.9
VIRTUA FIGHTER 4: EVOLUTION,PS2,2003.0,Fighting,Sega,0.71,93,8.9
TOP SPIN 4,PS3,2011.0,Sports,Take-Two Interactive,0.71,82,7.9
RESIDENT EVIL: SURVIVOR,PS,2000.0,Action,Eidos Interactive,0.71,39,6.5
PERSONA Q: SHADOW OF THE LABYRINTH,3DS,2014.0,Role-Playing,Nippon Ichi Software,0.71,83,5.8
MADDEN NFL 08,PSP,2007.0,Sports,Electronic Arts,0.71,75,7.4
GODZILLA: DESTROY ALL MONSTERS MELEE,GC,2002.0,Fighting,Atari,0.71,73,7.6
SILENT HILL 3,PS2,2003.0,Action,Konami Digital Entertainment,0.71,85,8.9
MADDEN NFL 09,PSP,2008.0,Sports,Electronic Arts,0.71,68,6.5
LEGO ROCK BAND,WII,2009.0,Misc,Warner Bros. Interactive Entertainment,0.71,70,6.9
MLB 10: THE SHOW,PS3,2010.0,Sports,Sony Computer Entertainment,0.71,91,8.2
SPYRO: ENTER THE DRAGONFLY,GC,2002.0,Platform,Universal Interactive,0.71,48,5.5
BLAST CORPS,N64,1997.0,Action,Nintendo,0.71,90,8.4
FOOTBALL MANAGER 2014,PC,2013.0,Sports,Sega,0.71,85,5.7
METAL GEAR SOLID V: THE PHANTOM PAIN,XONE,2015.0,Action,Konami Digital Entertainment,0.71,95,74.0
TWO WORLDS,X360,2007.0,Role-Playing,SouthPeak Games,0.71,50,5.4
NCAA FOOTBALL 09,X360,2008.0,Sports,Electronic Arts,0.71,83,7.7
NBA LIVE 09,X360,2008.0,Sports,Electronic Arts,0.71,77,7.5
RATCHET & CLANK: INTO THE NEXUS,PS3,2013.0,Shooter,Sony Computer Entertainment,0.71,76,8.4
SPIDER-MAN 2,PSP,2005.0,Action,Activision,0.71,67,6.5
2014 FIFA WORLD CUP BRAZIL,PS3,2014.0,Sports,Electronic Arts,0.71,73,4.3
NHL 12,X360,2011.0,Sports,Electronic Arts,0.7,86,7.0
TONY HAWK'S UNDERGROUND,GC,2003.0,Sports,Activision,0.7,89,8.5
INFINITE UNDISCOVERY,X360,2008.0,Role-Playing,Square Enix,0.7,68,7.0
THE SIMS 2: APARTMENT PETS,DS,2008.0,Simulation,Electronic Arts,0.7,50,2.2
NCAA FOOTBALL 08,X360,2007.0,Sports,Electronic Arts,0.7,81,7.8
KILL.SWITCH,PS2,2003.0,Shooter,Sony Computer Entertainment,0.7,73,8.2
SPLASHDOWN,PS2,2001.0,Racing,Atari,0.7,84,8.2
THE SIMS 3,DS,2010.0,Simulation,Electronic Arts,0.7,73,6.2
PRINCE OF PERSIA: THE FORGOTTEN SANDS,PS3,2010.0,Action,Ubisoft,0.7,75,7.4
ADVANCE WARS,GBA,2001.0,Strategy,Nintendo,0.7,92,9.0
APE ESCAPE: ON THE LOOSE,PSP,2005.0,Platform,Sony Computer Entertainment,0.7,66,7.0
NASCAR 2001,PS2,2000.0,Racing,Electronic Arts,0.7,66,6.5
IL-2 STURMOVIK: BIRDS OF PREY,PS3,2009.0,Simulation,505 Games,0.7,81,7.3
MAFIA,PS2,2004.0,Action,Illusion Softworks,0.7,65,7.6
TIMESPLITTERS 2,PS2,2002.0,Shooter,Eidos Interactive,0.7,90,8.9
MOTIONSPORTS,X360,2010.0,Sports,Ubisoft,0.7,40,4.0
MLB 08: THE SHOW,PS3,2008.0,Sports,Sony Computer Entertainment,0.7,85,8.7
CLASSIC NES SERIES: ZELDA II: THE ADVENTURE OF LINK,GBA,2004.0,Adventure,Nintendo,0.7,73,7.2
METAL GEAR SOLID: PORTABLE OPS PLUS,PSP,2007.0,Action,Konami Digital Entertainment,0.69,65,7.7
MORTAL KOMBAT: SHAOLIN MONKS,PS2,2005.0,Action,Midway Games,0.69,77,8.7
MX VS. ATV UNLEASHED: ON THE EDGE,PSP,2006.0,Racing,THQ,0.69,68,8.1
MARIO PINBALL LAND,GBA,2004.0,Misc,Nintendo,0.69,62,4.9
DRAGON BALL Z: BUDOKAI,GC,2003.0,Fighting,Atari,0.69,65,6.6
THE SLY COLLECTION,PS3,2010.0,Platform,Sony Computer Entertainment,0.69,85,8.8
ONE PIECE: PIRATE WARRIORS 2,PS3,2013.0,Action,Namco Bandai Games,0.69,71,7.9
ASSASSIN'S CREED IV: BLACK FLAG,PC,2013.0,Action,Ubisoft,0.69,84,7.9
HARRY POTTER AND THE CHAMBER OF SECRETS,GC,2002.0,Action,Electronic Arts,0.69,77,8.2
THE LORD OF THE RINGS: THE RETURN OF THE KING,GC,2003.0,Action,Electronic Arts,0.69,84,8.0
MX VS. ATV UNTAMED,X360,2007.0,Racing,THQ,0.69,70,6.8
THE LAST REMNANT,X360,2008.0,Role-Playing,Square Enix,0.69,66,6.8
BALDUR'S GATE: DARK ALLIANCE II,PS2,2004.0,Role-Playing,Interplay,0.68,78,8.3
SHARK TALE,GBA,2004.0,Action,Activision,0.68,63,7.8
KIRBY'S DREAM COLLECTION: SPECIAL EDITION,WII,2012.0,Action,Nintendo,0.68,82,8.8
IRON MAN,PS3,2008.0,Action,Sega,0.68,42,6.2
SPIDER-MAN 3,PS3,2007.0,Platform,Activision,0.68,60,6.9
RAYMAN LEGENDS,WIIU,2013.0,Platform,Ubisoft,0.68,92,88.0
PRINCE OF PERSIA: THE TWO THRONES,PS2,2005.0,Action,Ubisoft,0.68,85,8.5
RED STEEL,WII,2006.0,Shooter,Ubisoft,0.68,63,6.7
MASS EFFECT,PC,2008.0,Role-Playing,Electronic Arts,0.68,89,8.6
TUROK,PS3,2008.0,Action,Touchstone,0.68,67,5.8
UNREAL TOURNAMENT III,PS3,2007.0,Shooter,Midway Games,0.67,86,7.7
LOLLIPOP CHAINSAW,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.67,67,7.2
THE DARKNESS,PS3,2007.0,Shooter,Take-Two Interactive,0.67,80,7.7
BLAZING ANGELS: SQUADRONS OF WWII,PS3,2006.0,Simulation,Ubisoft,0.67,67,6.8
WOLFENSTEIN: THE NEW ORDER,XONE,2014.0,Shooter,Bethesda Softworks,0.67,79,78.0
ARMORED CORE 3,PS2,2002.0,Simulation,Metro 3D,0.67,74,8.9
THE WITCHER 3: WILD HUNT,PC,2015.0,Role-Playing,Namco Bandai Games,0.67,93,9.4
THE LEGO MOVIE VIDEOGAME,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.67,71,71.0
RIFT,PC,2011.0,Role-Playing,Unknown,0.67,84,7.3
CASTLEVANIA: LORDS OF SHADOW,X360,2010.0,Action,Konami Digital Entertainment,0.67,83,7.8
BIOSHOCK INFINITE,PC,2013.0,Shooter,Take-Two Interactive,0.67,94,8.6
007: QUANTUM OF SOLACE,WII,2008.0,Action,Activision,0.67,54,7.3
ROCK BAND 3,WII,2010.0,Misc,MTV Games,0.67,91,6.9
COMMAND & CONQUER: RED ALERT 3,PC,2008.0,Strategy,Electronic Arts,0.67,82,6.9
WWE SMACKDOWN VS. RAW 2007,PSP,2006.0,Fighting,THQ,0.67,78,8.4
PHOENIX WRIGHT: ACE ATTORNEY - TRIALS AND TRIBULATIONS,DS,2007.0,Adventure,Capcom,0.67,81,9.0
NHL 13,X360,2012.0,Sports,Electronic Arts,0.67,83,6.6
BORDERLANDS: THE PRE-SEQUEL,PS3,2014.0,Shooter,Take-Two Interactive,0.67,77,6.3
SHAUN WHITE SNOWBOARDING,PS3,2008.0,Sports,Ubisoft,0.66,63,6.3
MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.66,61,7.9
DARKSTONE,PS,2001.0,Role-Playing,Electronic Arts,0.66,58,8.4
NCAA MARCH MADNESS 2003,PS2,2002.0,Sports,Electronic Arts,0.66,74,8.0
THRILLVILLE,PS2,2006.0,Strategy,Atari,0.66,69,3.0
NHL 10,X360,2009.0,Sports,Electronic Arts,0.66,88,8.4
RAYMAN LEGENDS,PS3,2013.0,Platform,Ubisoft,0.66,91,8.7
STREET FIGHTER ANNIVERSARY COLLECTION,PS2,2004.0,Fighting,Capcom,0.66,78,8.7
NAPOLEON: TOTAL WAR,PC,2010.0,Strategy,Sega,0.66,81,7.9
FIST OF THE NORTH STAR: KEN'S RAGE,PS3,2010.0,Action,Ubisoft Annecy,0.66,60,7.0
WARIO: MASTER OF DISGUISE,DS,2007.0,Platform,Nintendo,0.66,60,7.5
TIGER WOODS PGA TOUR 09,PS3,2008.0,Sports,Electronic Arts,0.66,82,7.2
SHREK: HASSLE AT THE CASTLE,GBA,2002.0,Action,TDK Mediactive,0.66,71,7.4
DISNEY'S KIM POSSIBLE 2: DRAKKEN'S DEMISE,GBA,2004.0,Platform,Disney Interactive Studios,0.66,77,8.7
F1 2015,PS4,2015.0,Racing,Codemasters,0.66,65,64.0
SCENE IT? BOX OFFICE SMASH,X360,2008.0,Misc,Microsoft Game Studios,0.66,76,7.4
NHL 13,PS3,2012.0,Sports,Electronic Arts,0.65,84,6.8
TOM CLANCY'S ENDWAR,PS3,2008.0,Strategy,Ubisoft,0.65,76,6.6
THE EVIL WITHIN,XONE,2014.0,Action,Bethesda Softworks,0.65,79,74.0
TIGER WOODS PGA TOUR 09,X360,2008.0,Sports,Electronic Arts,0.65,84,7.7
RADIATA STORIES,PS2,2005.0,Role-Playing,Square Enix,0.65,74,8.5
F-ZERO GX,GC,2003.0,Racing,Nintendo,0.65,89,8.6
DISNEY'S CHICKEN LITTLE,PS2,2005.0,Platform,Disney Interactive Studios,0.65,60,8.6
MONSTER JAM: MAXIMUM DESTRUCTION,PS2,2002.0,Racing,Ubisoft,0.65,47,6.0
REAL HEROES: FIREFIGHTER,WII,2009.0,Action,Rondomedia,0.65,67,8.3
DRAWN TO LIFE: THE NEXT CHAPTER,DS,2009.0,Puzzle,THQ,0.65,72,7.7
MLB 14: THE SHOW,PS4,2014.0,Sports,Sony Computer Entertainment America,0.65,83,76.0
TIGER WOODS PGA TOUR 10,X360,2009.0,Sports,Electronic Arts,0.65,80,6.9
ADVANCE WARS 2: BLACK HOLE RISING,GBA,2003.0,Strategy,Nintendo,0.65,89,9.1
CHAMPIONS: RETURN TO ARMS,PS2,2005.0,Role-Playing,Sony Online Entertainment,0.65,77,8.0
HARRY POTTER AND THE GOBLET OF FIRE,PS2,2005.0,Action,Electronic Arts,0.65,68,6.4
MX VS. ATV UNTAMED,PSP,2007.0,Racing,THQ,0.65,59,7.5
DEAD OR ALIVE 5,PS3,2012.0,Fighting,Tecmo Koei,0.65,74,7.6
SENGOKU BASARA: SAMURAI HEROES,PS3,2010.0,Action,Capcom,0.65,61,8.0
CRYSIS 3,PC,2013.0,Shooter,Electronic Arts,0.64,76,6.7
CRASH BANDICOOT PURPLE: RIPTO'S RAMPAGE,GBA,2004.0,Platform,Vivendi Games,0.64,67,6.7
SPYRO: A HERO'S TAIL,PS2,2004.0,Platform,Vivendi Games,0.64,60,7.9
ALIENS: COLONIAL MARINES,PS3,2013.0,Shooter,Sega,0.64,43,3.6
DRAGON BALL: RAGING BLAST 2,X360,2010.0,Fighting,Namco Bandai Games,0.64,57,7.6
GOLDENEYE: ROGUE AGENT,PS2,2004.0,Shooter,Electronic Arts,0.64,60,6.8
NBA 2K17,XONE,2016.0,Sports,Take-Two Interactive,0.64,90,60.0
LOST PLANET: EXTREME CONDITION,PS3,2008.0,Shooter,Capcom,0.64,67,6.9
XCOM: ENEMY UNKNOWN,X360,2012.0,Strategy,Take-Two Interactive,0.64,90,8.3
RAYMAN 3D,3DS,2011.0,Platform,Ubisoft,0.64,61,6.5
LEGO MARVEL'S AVENGERS,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.64,71,71.0
X2: WOLVERINE'S REVENGE,PS2,2003.0,Platform,Activision,0.64,58,7.2
DRAGON AGE II,PC,2011.0,Action,Electronic Arts,0.64,82,4.6
LEGO STAR WARS II: THE ORIGINAL TRILOGY,X360,2006.0,Action,LucasArts,0.64,81,8.0
THE LORD OF THE RINGS: CONQUEST,X360,2009.0,Action,Electronic Arts,0.64,55,7.0
ONIMUSHA: DAWN OF DREAMS,PS2,2006.0,Action,Capcom,0.64,81,8.8
NIER,PS3,2010.0,Role-Playing,Square Enix,0.64,68,8.5
SEGA RALLY REVO,PS3,2007.0,Racing,Sega,0.64,75,7.0
WOLFENSTEIN,PS3,2009.0,Shooter,Activision,0.64,71,7.5
LEGO DIMENSIONS,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.64,80,72.0
START THE PARTY!,PS3,2010.0,Misc,Sony Computer Entertainment,0.64,55,5.1
NBA LIVE 08,PS3,2007.0,Sports,Electronic Arts,0.64,73,6.8
THE WALKING DEAD: SURVIVAL INSTINCT,X360,2013.0,Shooter,Activision,0.64,32,4.0
OKAMI,WII,2008.0,Action,Capcom,0.64,90,8.8
LEMONY SNICKET'S A SERIES OF UNFORTUNATE EVENTS,PS2,2004.0,Platform,Activision,0.64,63,5.7
RED STEEL 2,WII,2010.0,Shooter,Ubisoft,0.63,80,8.5
X-MEN LEGENDS II: RISE OF APOCALYPSE,PS2,2005.0,Role-Playing,Activision,0.63,82,7.5
SINGSTAR QUEEN,PS2,2009.0,Misc,Sony Computer Entertainment,0.63,73,8.0
F1 2013,PS3,2013.0,Racing,Codemasters,0.63,77,6.4
JUICED 2: HOT IMPORT NIGHTS,X360,2007.0,Racing,THQ,0.63,68,7.5
GHOSTBUSTERS: THE VIDEO GAME,X360,2009.0,Action,Atari,0.63,79,8.5
NASCAR 06: TOTAL TEAM CONTROL,PS2,2005.0,Racing,Electronic Arts,0.63,78,7.7
TONY HAWK'S PROJECT 8,PS3,2006.0,Sports,Activision,0.63,76,7.1
DISNEY UNIVERSE,PS3,2011.0,Action,Disney Interactive Studios,0.63,70,6.9
GUITAR HERO: METALLICA,PS3,2009.0,Misc,Activision,0.63,86,8.1
IRON MAN,PSP,2008.0,Action,Sega,0.63,44,6.4
HARRY POTTER AND THE HALF-BLOOD PRINCE,DS,2009.0,Action,Electronic Arts,0.63,48,4.8
DJ HERO 2,WII,2010.0,Misc,Activision,0.63,88,7.6
ANGRY BIRDS TRILOGY,3DS,2012.0,Action,Activision,0.63,62,5.0
CONDEMNED 2: BLOODSHOT,X360,2008.0,Action,Sega,0.63,80,8.5
CALL OF DUTY: BLACK OPS,DS,2010.0,Shooter,Activision,0.63,74,6.5
THE SIMS 3: GENERATIONS,PC,2011.0,Simulation,Electronic Arts,0.63,70,3.8
