Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_Score,User_Score
1869,UNTOLD LEGENDS: BROTHERHOOD OF THE BLADE,PSP,2005.0,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.1,68,7.7
1872,STAR WARS: THE FORCE UNLEASHED,PSP,2008.0,Action,LucasArts,0.43,0.41,0.0,0.25,1.09,70,7.9
1874,THE SIMPSONS GAME,PSP,2007.0,Action,Electronic Arts,0.24,0.55,0.0,0.31,1.09,59,7.0
1876,SKATE 2,X360,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,84,7.9
1877,DRAGON BALL Z: THE LEGACY OF GOKU II,GBA,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09,75,8.4
1878,VIRTUA FIGHTER 5,PS3,2007.0,Fighting,Sega,0.29,0.52,0.08,0.2,1.09,85,7.3
1879,NFL 2K1,DC,2000.0,Sports,Sega,1.02,0.05,0.0,0.02,1.09,97,6.4
1881,NAMCO MUSEUM BATTLE COLLECTION,PSP,2005.0,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.09,73,7.7
1882,LEGO STAR WARS II: THE ORIGINAL TRILOGY,DS,2006.0,Action,LucasArts,0.96,0.04,0.0,0.08,1.09,47,5.1
1884,EMPIRE: TOTAL WAR,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.11,1.09,90,7.0
1885,THE GODFATHER,PS2,2006.0,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75,8.4
1886,TIGER WOODS PGA TOUR 10,WII,2009.0,Sports,Electronic Arts,0.61,0.37,0.0,0.11,1.09,88,7.7
1887,STAR WARS: BOUNTY HUNTER,PS2,2002.0,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,65,8.2
1889,DANTE'S INFERNO,PS3,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.09,75,7.6
1890,SONIC & SEGA ALL-STARS RACING,DS,2010.0,Racing,Sega,0.44,0.54,0.0,0.11,1.09,78,8.0
1891,SKYLANDERS GIANTS,PS3,2012.0,Action,Activision,0.35,0.52,0.0,0.22,1.09,77,6.7
1894,SONIC FREE RIDERS,X360,2010.0,Racing,Sega,0.74,0.26,0.0,0.09,1.09,47,2.3
1895,NASCAR THUNDER 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,88,8.5
1896,PRINCE OF PERSIA,PS3,2008.0,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08,85,7.4
1898,GRAND THEFT AUTO V,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08,96,7.8
1902,RESIDENT EVIL: THE DARKSIDE CHRONICLES,WII,2009.0,Action,Capcom,0.48,0.32,0.2,0.09,1.08,75,7.8
1903,NCAA FOOTBALL 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08,76,5.5
1904,GRAND THEFT AUTO: CHINATOWN WARS,PSP,2009.0,Action,Take-Two Interactive,0.28,0.5,0.03,0.28,1.08,90,7.4
1905,FIFA SOCCER 11,WII,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.08,73,6.5
1906,THE ORANGE BOX,PS3,2007.0,Shooter,Electronic Arts,0.28,0.59,0.0,0.22,1.08,89,8.3
1908,TOMB RAIDER: UNDERWORLD,X360,2008.0,Action,Eidos Interactive,0.53,0.43,0.01,0.11,1.08,76,6.7
1909,TOM CLANCY'S GHOST RECON 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,58,5.7
1910,DIRT 3,PS3,2011.0,Racing,Codemasters,0.27,0.59,0.01,0.21,1.08,87,7.0
1911,LEGO CITY UNDERCOVER,WIIU,2013.0,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08,80,83.0
1912,SPORE CREATURES,DS,2008.0,Simulation,Electronic Arts,0.67,0.3,0.0,0.11,1.08,65,6.8
1914,DRAGON BALL Z: TAIKETSU,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,40,6.0
1915,DISNEY'S LILO & STITCH,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08,80,7.8
1916,STAR FOX: ASSAULT,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,67,8.1
1917,NARUTO: ULTIMATE NINJA STORM,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.35,0.09,0.16,1.08,75,8.3
1918,MARVEL VS. CAPCOM 3: FATE OF TWO WORLDS,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08,85,7.1
1919,NCAA FOOTBALL 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.06,1.07,77,5.9
1921,CALL OF DUTY 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,82,7.4
1924,BULLY: SCHOLARSHIP EDITION,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07,80,8.3
1931,SOULCALIBUR III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,86,8.5
1932,SKYLANDERS SWAP FORCE,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07,83,5.6
1933,F1 2012,PS3,2012.0,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07,81,7.5
1934,WORLD TOUR SOCCER,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,70,6.5
1935,DISNEY UNIVERSE,WII,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07,61,6.6
1937,LEGO PIRATES OF THE CARIBBEAN: THE VIDEO GAME,X360,2011.0,Action,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.07,73,7.1
1940,MORTAL KOMBAT: ARMAGEDDON,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,75,8.3
1942,FREEKSTYLE,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,81,7.2
1944,DARKSIDERS,X360,2010.0,Action,THQ,0.67,0.29,0.01,0.1,1.06,83,7.9
1945,DIRT,PS3,2007.0,Racing,Codemasters,0.16,0.67,0.0,0.23,1.06,83,8.1
1946,CALL OF DUTY 4: MODERN WARFARE,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,0.08,1.06,75,6.2
1948,SEGA SUPERSTARS TENNIS,WII,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.06,71,7.1
1949,NBA STREET V3,PS2,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,89,8.5
1950,SLEEPING DOGS,PS3,2012.0,Action,Square Enix,0.31,0.5,0.05,0.19,1.06,83,7.7
1951,MERCENARIES 2: WORLD IN FLAMES,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,72,7.2
1953,HULK,PS2,2003.0,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,71,8.1
1954,LEGO INDIANA JONES: THE ORIGINAL ADVENTURES,PS3,2008.0,Action,Activision,0.44,0.44,0.0,0.18,1.06,77,7.9
1957,DJ HERO,X360,2009.0,Misc,Activision,0.56,0.4,0.0,0.11,1.06,84,8.0
1959,DIABLO II: LORD OF DESTRUCTION,PC,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,87,9.1
1960,NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4,PS4,2016.0,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06,79,80.0
1961,SPIDER-MAN 2,GBA,2004.0,Action,Activision,0.76,0.28,0.0,0.02,1.06,65,8.0
1962,VIRTUA TENNIS 3,PS3,2007.0,Sports,Sega,0.23,0.59,0.03,0.22,1.06,80,7.8
1963,SEEK AND DESTROY,PS2,2002.0,Racing,Play It,0.52,0.4,0.0,0.14,1.06,63,8.8
1964,WARHAWK,PS3,2007.0,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06,84,8.3
1968,SOCOM: U.S. NAVY SEALS FIRETEAM BRAVO 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,81,8.7
1977,UFC UNDISPUTED 3,PS3,2012.0,Action,THQ,0.55,0.34,0.03,0.13,1.05,86,7.3
1978,NBA 2K3,PS2,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,1.05,89,8.0
1979,DRAGON BALL: XENOVERSE,PS4,2015.0,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05,69,77.0
1981,DAVE MIRRA FREESTYLE BMX,PS,2000.0,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,82,7.6
1983,WWE SMACKDOWN VS. RAW 2010,X360,2009.0,Fighting,THQ,0.56,0.38,0.01,0.11,1.05,80,8.3
1985,SONIC THE HEDGEHOG,X360,2006.0,Platform,Sega,0.44,0.49,0.0,0.11,1.05,46,4.4
1986,MYSIMS AGENTS,WII,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,1.05,78,8.5
1988,POKEMON CONQUEST,DS,2012.0,Role-Playing,Nintendo,0.58,0.06,0.37,0.04,1.05,80,8.3
1989,THE SIMPSONS GAME,X360,2007.0,Action,Electronic Arts,0.54,0.4,0.0,0.11,1.05,71,7.7
1990,GUINNESS WORLD RECORDS: THE VIDEOGAME,WII,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04,67,7.0
1991,MVP BASEBALL 2003,PS2,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04,81,8.9
1993,DRAGON BALL Z: BUDOKAI TENKAICHI 3,WII,2007.0,Fighting,Atari,0.33,0.37,0.26,0.09,1.04,72,8.5
2000,DANCE DANCE REVOLUTION SUPERNOVA,PS2,2006.0,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04,73,8.8
2001,BRINK,X360,2011.0,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.04,68,5.8
2002,F-ZERO: MAXIMUM VELOCITY,GBA,2001.0,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,86,8.2
2005,LEGO INDIANA JONES 2: THE ADVENTURE CONTINUES,X360,2009.0,Action,Activision,0.62,0.33,0.0,0.09,1.04,71,7.3
2006,PROJECT CARS,PS4,2015.0,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04,83,66.0
2011,TOM CLANCY'S GHOST RECON ADVANCED WARFIGHTER 2,PS3,2007.0,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.04,84,7.7
2013,WIPEOUT PURE,PSP,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.22,1.04,88,8.0
2014,EA SPORTS UFC,PS4,2014.0,Sports,Electronic Arts,0.46,0.4,0.01,0.17,1.04,70,61.0
2015,MX VS. ATV UNLEASHED,PS2,2005.0,Racing,THQ,0.86,0.03,0.0,0.14,1.03,79,8.5
2016,SONIC UNLEASHED,PS3,2008.0,Platform,Sega,0.56,0.33,0.01,0.14,1.03,54,7.7
2017,TIGER WOODS PGA TOUR 08,WII,2007.0,Sports,Electronic Arts,0.94,0.02,0.0,0.08,1.03,72,7.0
2018,RAYMAN ORIGINS,PS3,2011.0,Platform,Ubisoft,0.33,0.51,0.01,0.18,1.03,87,8.4
2020,NCAA MARCH MADNESS 2004,PS2,2003.0,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03,82,8.8
2023,THE SIMPSONS GAME,WII,2007.0,Action,Electronic Arts,0.45,0.47,0.0,0.11,1.03,64,6.1
2025,ROCK BAND 2,WII,2008.0,Misc,MTV Games,0.94,0.01,0.0,0.08,1.03,92,7.2
2027,BULLETSTORM,X360,2011.0,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,84,7.6
2028,FIFA SOCCER 08,WII,2007.0,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,65,6.0
2029,NARUTO: CLASH OF NINJA REVOLUTION,WII,2007.0,Fighting,Tomy Corporation,0.45,0.46,0.0,0.11,1.02,74,7.9
2030,TOM CLANCY'S GHOST RECON ADVANCED WARFIGHTER 2,X360,2007.0,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,86,7.9
2031,ZOMBIU,WIIU,2012.0,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02,77,77.0
2032,SHREK 2,GC,2004.0,Platform,Activision,0.73,0.26,0.01,0.03,1.02,70,4.7
2036,WALL-E,WII,2008.0,Platform,THQ,0.51,0.4,0.0,0.11,1.02,51,4.9
2038,ACE COMBAT 6: FIRES OF LIBERATION,X360,2007.0,Simulation,Atari,0.69,0.04,0.22,0.06,1.02,80,7.9
2041,HARRY POTTER AND THE PRISONER OF AZKABAN,PS2,2004.0,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02,70,8.7
2043,BAYONETTA 2,WIIU,2014.0,Action,Nintendo,0.34,0.28,0.1,0.3,1.01,91,89.0
2044,PRINCE OF PERSIA,X360,2008.0,Action,Ubisoft,0.54,0.35,0.02,0.1,1.01,81,7.1
2045,GOD OF WAR: GHOST OF SPARTA,PSP,2010.0,Action,Sony Computer Entertainment,0.41,0.36,0.03,0.21,1.01,86,8.7
2046,SONIC GENERATIONS,3DS,2011.0,Platform,Sega,0.44,0.46,0.01,0.09,1.01,66,6.8
2047,NINJA GAIDEN II,X360,2008.0,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,81,8.0
2050,GUITAR HERO: WARRIORS OF ROCK,WII,2010.0,Misc,Activision,0.48,0.44,0.0,0.09,1.01,77,7.4
2054,DIRT 2,PS3,2009.0,Racing,Codemasters,0.27,0.53,0.0,0.2,1.01,87,8.2
2055,RAYMAN LEGENDS,PS4,2014.0,Platform,Ubisoft,0.21,0.61,0.0,0.18,1.01,90,84.0
2056,NERF N-STRIKE ELITE,WII,2009.0,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0,67,4.5
2062,EXCITEBIKE 64,N64,2000.0,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0,88,8.0
2067,HAZE,PS3,2008.0,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1.0,55,6.5
2068,UFC UNDISPUTED 3,X360,2012.0,Action,THQ,0.72,0.21,0.0,0.07,1.0,85,7.6
2075,ZOO TYCOON DS,DS,2005.0,Strategy,THQ,0.86,0.04,0.01,0.08,1.0,44,6.6
2077,DEAD SPACE 3,PS3,2013.0,Action,Electronic Arts,0.44,0.38,0.0,0.17,1.0,76,6.4
2079,DISNEY INFINITY,PS3,2013.0,Action,Disney Interactive Studios,0.48,0.35,0.0,0.16,1.0,75,5.9
2080,DARK SOULS,X360,2011.0,Role-Playing,Namco Bandai Games,0.64,0.28,0.0,0.08,1.0,89,8.7
2083,DEAD SPACE 3,X360,2013.0,Action,Electronic Arts,0.64,0.28,0.0,0.08,0.99,78,6.4
2084,PHOENIX WRIGHT: ACE ATTORNEY,DS,2005.0,Adventure,Capcom,0.49,0.07,0.39,0.05,0.99,81,9.0
2086,THE SIMPSONS: HIT & RUN,GC,2003.0,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99,79,8.8
2089,TOM CLANCY'S SPLINTER CELL: BLACKLIST,X360,2013.0,Action,Ubisoft,0.57,0.34,0.01,0.08,0.99,82,7.5
2090,ACE COMBAT X: SKIES OF DECEPTION,PSP,2006.0,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,75,8.4
2091,NCAA FOOTBALL 12,X360,2011.0,Sports,Electronic Arts,0.94,0.0,0.0,0.06,0.99,82,6.5
2092,LEGO PIRATES OF THE CARIBBEAN: THE VIDEO GAME,PS3,2011.0,Action,Disney Interactive Studios,0.36,0.46,0.0,0.17,0.99,73,7.3
2093,BAND HERO,WII,2009.0,Misc,Activision,0.6,0.3,0.0,0.09,0.99,79,6.4
2096,EYEPET,PS3,2009.0,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.09,0.99,70,8.0
2098,MIDNIGHT CLUB: LA REMIX,PSP,2008.0,Racing,Take-Two Interactive,0.52,0.28,0.0,0.19,0.99,79,8.5
2100,GUITAR HERO: AEROSMITH,PS3,2008.0,Misc,Activision,0.73,0.15,0.0,0.11,0.99,70,5.0
2102,FIFA SOCCER 10,WII,2009.0,Sports,Electronic Arts,0.23,0.65,0.0,0.11,0.99,75,6.1
2103,SHADOW THE HEDGEHOG,GC,2005.0,Platform,Sega,0.76,0.2,0.0,0.03,0.99,51,6.1
2104,FARMING SIMULATOR 2013,PC,2012.0,Simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99,65,7.4
2105,FALLOUT 3,PC,2008.0,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99,91,7.8
2106,CARS,DS,2006.0,Racing,THQ,0.85,0.05,0.0,0.08,0.98,54,2.8
2107,PRO EVOLUTION SOCCER 2008,PSP,2008.0,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,80,6.6
2108,FAR CRY 3,PC,2012.0,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98,88,8.4
2110,JUST DANCE 2014,X360,2013.0,Misc,Ubisoft,0.72,0.19,0.0,0.07,0.98,79,7.8
2111,MARIO PARTY ADVANCE,GBA,2005.0,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,54,5.1
2112,SONIC & SEGA ALL-STARS RACING,PS3,2010.0,Racing,Sega,0.36,0.46,0.0,0.17,0.98,77,8.0
2118,SOUTH PARK: THE STICK OF TRUTH,PS3,2014.0,Role-Playing,Ubisoft,0.42,0.38,0.0,0.17,0.98,85,8.5
2119,DRIVER: SAN FRANCISCO,PS3,2011.0,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98,79,7.6
2120,SNIPER ELITE V2,PS3,2012.0,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98,70,6.9
2122,GRAND THEFT AUTO: SAN ANDREAS,PC,2005.0,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,93,8.9
2123,TOM CLANCY'S SPLINTER CELL: BLACKLIST,PS3,2013.0,Action,Ubisoft,0.34,0.41,0.06,0.18,0.98,84,7.7
2124,PRO EVOLUTION SOCCER 2014,PS3,2013.0,Action,Konami Digital Entertainment,0.03,0.43,0.51,0.01,0.98,78,4.0
2127,BRUTAL LEGEND,X360,2009.0,Action,Electronic Arts,0.62,0.27,0.0,0.09,0.98,82,8.0
2128,TAMAGOTCHI CONNECTION: CORNER SHOP 2,DS,2006.0,Simulation,Namco Bandai Games,0.09,0.02,0.86,0.01,0.98,66,5.8
2130,MADDEN NFL 08,PS3,2007.0,Sports,Electronic Arts,0.89,0.01,0.0,0.08,0.97,81,5.3
2131,DE BLOB,WII,2008.0,Platform,THQ,0.5,0.37,0.0,0.1,0.97,82,8.2
2133,MASS EFFECT 3,PC,2012.0,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97,89,6.0
2134,NBA 2K10,X360,2009.0,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97,82,7.6
2135,FIRE EMBLEM,GBA,2003.0,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97,88,9.1
2137,SKYLANDERS: SPYRO'S ADVENTURE,X360,2011.0,Action,Activision,0.53,0.35,0.0,0.1,0.97,78,5.4
2139,NHL 2004,PS2,2003.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97,85,7.6
2140,GRAND THEFT AUTO: VICE CITY STORIES,PS2,2007.0,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,75,7.8
2146,LEGO STAR WARS II: THE ORIGINAL TRILOGY,GC,2006.0,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,84,8.6
2150,THE SIMS 2,DS,2005.0,Simulation,Electronic Arts,0.82,0.07,0.0,0.07,0.96,70,6.0
2153,PLAYSTATION ALL-STARS BATTLE ROYALE,PS3,2012.0,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96,74,7.4
2158,GANGS OF LONDON,PSP,2006.0,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96,52,6.8
2161,SONIC UNLEASHED,X360,2008.0,Platform,Sega,0.54,0.33,0.0,0.09,0.96,60,7.8
2162,LOST PLANET 2,PS3,2010.0,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96,68,7.0
2163,NHL 2001,PS2,2000.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96,85,8.2
2166,TOM CLANCY'S GHOST RECON: FUTURE SOLDIER,PS3,2012.0,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96,79,6.9
2168,SHINOBI,PS2,2002.0,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96,71,8.0
2170,THE WITCHER 2: ASSASSINS OF KINGS,PC,2011.0,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96,88,8.5
2171,PILOTWINGS RESORT,3DS,2011.0,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96,71,7.1
2172,NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 3,PS3,2013.0,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96,77,7.9
2176,WORLD CHAMPIONSHIP POKER,PS2,2004.0,Misc,Play It,0.8,0.03,0.0,0.13,0.95,60,7.7
2178,SPONGEBOB SQUAREPANTS: BATTLE FOR BIKINI BOTTOM,GC,2003.0,Platform,THQ,0.74,0.19,0.0,0.03,0.95,71,8.2
2179,SOUTH PARK: THE STICK OF TRUTH,X360,2014.0,Role-Playing,Ubisoft,0.57,0.3,0.0,0.08,0.95,82,8.5
2181,SINGSTAR ABBA,PS3,2008.0,Misc,Sony Computer Entertainment,0.27,0.51,0.0,0.17,0.95,70,5.5
2184,KESSEN,PS2,2000.0,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,75,8.4
2185,YU-GI-OH! WORLDWIDE EDITION: STAIRWAY TO THE DESTINED DUEL,GBA,2003.0,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95,72,8.8
2187,BRUTAL LEGEND,PS3,2009.0,Action,Electronic Arts,0.54,0.28,0.0,0.13,0.95,83,7.6
2188,SKYLANDERS: SPYRO'S ADVENTURE,PS3,2011.0,Action,Activision,0.39,0.4,0.0,0.16,0.95,77,5.1
2189,GUITAR HERO: METALLICA,WII,2009.0,Misc,Activision,0.41,0.43,0.0,0.1,0.95,85,8.1
2190,EVOLVE,PS4,2015.0,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95,76,43.0
2191,WWE SMACKDOWN VS. RAW 2009,PS3,2008.0,Fighting,THQ,0.51,0.31,0.01,0.13,0.95,78,7.1
2192,ARMY OF TWO: THE 40TH DAY,X360,2010.0,Shooter,Electronic Arts,0.62,0.24,0.0,0.08,0.95,73,7.3
2195,WII PLAY: MOTION,WII,2011.0,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95,60,6.3
2196,KILLZONE,PS2,2004.0,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94,70,7.3
2197,THE TOMB RAIDER TRILOGY,PS3,2011.0,Action,Square Enix,0.27,0.5,0.0,0.17,0.94,78,8.1
2199,STAR FOX 64 3D,3DS,2011.0,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94,81,8.1
2200,THE SPONGEBOB SQUAREPANTS MOVIE,GC,2004.0,Platform,THQ,0.73,0.19,0.0,0.03,0.94,73,7.7
2203,CARS,WII,2006.0,Racing,THQ,0.83,0.04,0.0,0.07,0.94,65,7.0
2204,ASSASSIN'S CREED III,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94,80,6.4
2205,CASTLEVANIA: LAMENT OF INNOCENCE,PS2,2003.0,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94,79,8.4
2206,MARIO TENNIS OPEN,3DS,2012.0,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94,69,6.9
2207,THE WITCHER 2: ASSASSINS OF KINGS,X360,2012.0,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94,88,8.3
2209,DESTROY ALL HUMANS!,PS2,2005.0,Shooter,THQ,0.78,0.03,0.0,0.13,0.94,74,8.4
2212,NCAA FOOTBALL 10,X360,2009.0,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94,83,6.7
2214,THE LEGEND OF ZELDA: TWILIGHT PRINCESS HD,WIIU,2016.0,Action,Nintendo,0.48,0.3,0.08,0.08,0.94,86,85.0
2215,BULLY,PS2,2006.0,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,87,9.0
2219,MLB 06: THE SHOW,PS2,2006.0,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,83,8.9
2220,NHL 2003,PS2,2002.0,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93,79,6.8
2221,OPERATION FLASHPOINT: DRAGON RISING,X360,2009.0,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93,77,7.6
2223,BUZZ! QUIZ WORLD,PS3,2009.0,Misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.93,80,8.2
2226,BORDERLANDS 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,89,8.2
2229,SSX,PS3,2012.0,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93,81,6.8
2230,SONIC RIDERS: ZERO GRAVITY,WII,2008.0,Racing,Sega,0.5,0.32,0.02,0.1,0.93,56,8.1
2232,BUILD-A-BEAR WORKSHOP,DS,2007.0,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93,61,4.7
2238,TEENAGE MUTANT NINJA TURTLES,GBA,2003.0,Action,Unknown,0.67,0.25,0.0,0.02,0.93,71,8.3
2239,MLB 07: THE SHOW,PS2,2007.0,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,83,8.6
2241,CARS,GC,2006.0,Racing,THQ,0.72,0.19,0.0,0.03,0.93,71,6.7
2242,BROTHERS IN ARMS: HELL'S HIGHWAY,PS3,2008.0,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93,76,8.0
2244,POKKEN TOURNAMENT,WIIU,2016.0,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93,76,73.0
2246,TEENAGE MUTANT NINJA TURTLES,PS2,2003.0,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,59,8.4
2247,TOP GUN: COMBAT ZONES,PS2,2001.0,Simulation,Titus,0.45,0.35,0.0,0.12,0.92,63,3.3
2249,007: THE WORLD IS NOT ENOUGH,PS,2000.0,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61,6.8
2250,NCAA FOOTBALL 11,X360,2010.0,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,86,7.1
2252,FIFA STREET,X360,2012.0,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92,77,6.7
2253,EA SPORTS ACTIVE 2,PS3,2010.0,Sports,Electronic Arts,0.52,0.28,0.0,0.12,0.92,78,5.4
2254,SPONGEBOB SQUAREPANTS: THE YELLOW AVENGER,PSP,2006.0,Action,THQ,0.55,0.21,0.0,0.16,0.92,48,5.1
2255,WWE SMACKDOWN VS. RAW 2009,X360,2008.0,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,79,7.1
2256,DANTE'S INFERNO,X360,2010.0,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,73,7.7
2259,KUNG FU PANDA,WII,2008.0,Action,Activision,0.5,0.32,0.0,0.09,0.92,70,6.7
